code,age,ageValue
E09000010,age19,3278
E09000010,age20,3222
E09000010,age21,3520
E09000010,age22,4009
E09000010,age23,4112
E09000010,age24,4253
E09000010,age25,4250
E09000010,age26,4037
E09000010,age27,4315
E09000010,age28,4240
E09000010,age29,4335
E09000010,age30,4386
E09000010,age31,4580
E09000010,age32,4620
E09000010,age33,4869
E09000010,age34,4668
E09000010,age35,4883
E09000010,age36,4869
E09000010,age37,4565
E09000010,age38,4687
E09000010,age39,4975
E09000010,age40,5253
E09000010,age41,5018
E09000010,age42,4950
E09000010,age43,4713
E09000010,age44,4638
E09000010,age45,4490
E09000010,age46,4532
E09000010,age47,4450
E09000010,age48,4721
E09000010,age49,4537
E09000010,age50,4698
E09000010,age51,4584
E09000010,age52,4582
E09000010,age53,4537
E09000010,age54,4247
E09000010,age55,4566
E09000010,age56,4534
E09000010,age57,4246
E09000010,age58,4080
E09000010,age59,3684
E09000010,age60,3758
E09000010,age61,3687
E09000010,age62,3387
E09000010,age63,3257
E09000010,age64,2972
E09000011,age16,3279
E09000011,age17,3239
E09000011,age18,3067
E09000011,age19,3004
E09000011,age20,3129
E09000011,age21,3357
E09000011,age22,3721
E09000011,age23,3907
E09000011,age24,4249
E09000011,age25,4641
E09000011,age26,4461
E09000011,age27,4877
E09000011,age28,5243
E09000011,age29,5494
E09000011,age30,5502
E09000011,age31,5590
E09000011,age32,5664
E09000011,age33,5783
E09000011,age34,5329
E09000011,age35,5336
E09000011,age36,5210
E09000011,age37,5280
E09000011,age38,5211
E09000011,age39,4742
E09000011,age40,5193
E09000011,age41,4822
E09000011,age42,4577
E09000011,age43,4253
E09000011,age44,4114
E09000011,age45,4040
E09000011,age46,4085
E09000011,age47,3873
E09000011,age48,3745
E09000011,age49,3824
E09000011,age50,4030
E09000011,age51,3777
E09000011,age52,3912
E09000011,age53,3642
E09000011,age54,3665
E09000011,age55,3458
E09000011,age56,3341
E09000011,age57,3286
E09000011,age58,3031
E09000011,age59,3009
E09000011,age60,2993
E09000011,age61,2768
E09000011,age62,2429
E09000011,age63,2302
E09000011,age64,2037
E09000012,age16,3033
E09000012,age17,2949
E09000012,age18,2685
E09000012,age19,2492
E09000012,age20,2865
E09000012,age21,2973
E09000012,age22,3399
E09000012,age23,4391
E09000012,age24,4964
E09000012,age25,5672
E09000012,age26,6165
E09000012,age27,6373
E09000012,age28,6608
E09000012,age29,6716
E09000012,age30,6976
E09000012,age31,6824
E09000012,age32,6536
E09000012,age33,6005
E09000012,age34,5607
E09000012,age35,5194
E09000012,age36,4899
E09000012,age37,4677
E09000012,age38,4525
E09000012,age39,4318
E09000012,age40,4040
E09000012,age41,3966
E09000012,age42,3610
E09000012,age43,3527
E09000012,age44,3493
E09000012,age45,3254
E09000012,age46,3166
E09000012,age47,3020
E09000012,age48,3067
E09000012,age49,2958
E09000012,age50,2939
E09000012,age51,2940
E09000012,age52,2964
E09000012,age53,2934
E09000012,age54,2793
E09000012,age55,2929
E09000012,age56,2963
E09000012,age57,2624
E09000012,age58,2520
E09000012,age59,2310
E09000012,age60,2317
E09000012,age61,2192
E09000012,age62,1998
E09000012,age63,1790
E09000012,age64,1809
E09000013,age16,1665
E09000013,age17,1646
E09000013,age18,1523
E09000013,age19,1747
E09000013,age20,2346
E09000013,age21,2745
E09000013,age22,3204
E09000013,age23,4084
E09000013,age24,4581
E09000013,age25,4726
E09000013,age26,4848
E09000013,age27,4734
E09000013,age28,4569
E09000013,age29,4525
E09000013,age30,4260
E09000013,age31,4067
E09000013,age32,3916
E09000013,age33,3709
E09000013,age34,3435
E09000013,age35,3226
E09000013,age36,3119
E09000013,age37,2949
E09000013,age38,2811
E09000013,age39,2696
E09000013,age40,2691
E09000013,age41,2664
E09000013,age42,2600
E09000013,age43,2503
E09000013,age44,2390
E09000013,age45,2397
E09000013,age46,2436
E09000013,age47,2455
E09000013,age48,2504
E09000013,age49,2382
E09000013,age50,2458
E09000013,age51,2400
E09000013,age52,2318
E09000013,age53,2350
E09000013,age54,2370
E09000013,age55,2177
E09000013,age56,2226
E09000013,age57,1998
E09000013,age58,1985
E09000013,age59,1854
E09000013,age60,1603
E09000013,age61,1511
E09000013,age62,1496
E09000013,age63,1424
E09000013,age64,1323
E09000014,age16,3119
E09000014,age17,3067
E09000014,age18,2770
