code,category,value,areaName
E09000016,studentEmployeeFT,758,Havering
E09000016,studentSelfEmployerPT,25,Havering
E09000016,studentSelfEmployerFT,42,Havering
E09000016,studentSelfPT,188,Havering
E09000016,studentSelfFT,163,Havering
E09000016,studentJobSeeking,964,Havering
E09000016,retired,43979,Havering
E09000016,student,9680,Havering
E09000016,care,10786,Havering
E09000016,sick,6467,Havering
E09000016,otherInactive,6386,Havering
E09000017,employeePT,27435,Hillingdon
E09000017,employeeFT,85820,Hillingdon
E09000017,selfEmployerPT,1241,Hillingdon
E09000017,selfEmployerFT,3238,Hillingdon
E09000017,selfPT,8442,Hillingdon
E09000017,selfFT,12126,Hillingdon
E09000017,jobSeeking,9502,Hillingdon
E09000017,studentEmployeePT,3037,Hillingdon
E09000017,studentEmployeeFT,918,Hillingdon
E09000017,studentSelfEmployerPT,45,Hillingdon
E09000017,studentSelfEmployerFT,27,Hillingdon
E09000017,studentSelfPT,317,Hillingdon
E09000017,studentSelfFT,160,Hillingdon
E09000017,studentJobSeeking,2130,Hillingdon
E09000017,retired,37565,Hillingdon
E09000017,student,17415,Hillingdon
E09000017,care,15604,Hillingdon
E09000017,sick,7110,Hillingdon
E09000017,otherInactive,9747,Hillingdon
E09000018,employeePT,26063,Hounslow
E09000018,employeeFT,81682,Hounslow
E09000018,selfEmployerPT,1295,Hounslow
E09000018,selfEmployerFT,3295,Hounslow
E09000018,selfPT,9800,Hounslow
E09000018,selfFT,12328,Hounslow
E09000018,jobSeeking,10189,Hounslow
E09000018,studentEmployeePT,2813,Hounslow
E09000018,studentEmployeeFT,988,Hounslow
E09000018,studentSelfEmployerPT,52,Hounslow
E09000018,studentSelfEmployerFT,30,Hounslow
E09000018,studentSelfPT,292,Hounslow
E09000018,studentSelfFT,156,Hounslow
E09000018,studentJobSeeking,1621,Hounslow
E09000018,retired,29510,Hounslow
E09000018,student,14360,Hounslow
E09000018,care,16377,Hounslow
E09000018,sick,7425,Hounslow
E09000018,otherInactive,10399,Hounslow
E09000019,employeePT,15301,Islington
E09000019,employeeFT,75165,Islington
E09000019,selfEmployerPT,638,Islington
E09000019,selfEmployerFT,2142,Islington
E09000019,selfPT,8121,Islington
E09000019,selfFT,9790,Islington
E09000019,jobSeeking,8276,Islington
E09000019,studentEmployeePT,2259,Islington
E09000019,studentEmployeeFT,859,Islington
E09000019,studentSelfEmployerPT,42,Islington
E09000019,studentSelfEmployerFT,15,Islington
E09000019,studentSelfPT,535,Islington
E09000019,studentSelfFT,104,Islington
E09000019,studentJobSeeking,1667,Islington
E09000019,retired,16858,Islington
E09000019,student,15859,Islington
E09000019,care,8586,Islington
E09000019,sick,9703,Islington
E09000019,otherInactive,7707,Islington
E09000020,employeePT,8811,Kensington and Chelsea
E09000020,employeeFT,41246,Kensington and Chelsea
E09000020,selfEmployerPT,800,Kensington and Chelsea
E09000012,employeePT,25226,Hackney
E09000012,employeeFT,78498,Hackney
E09000012,selfEmployerPT,1037,Hackney
E09000012,selfEmployerFT,2465,Hackney
E09000012,selfPT,10480,Hackney
E09000012,selfFT,12922,Hackney
E09000012,jobSeeking,9945,Hackney
E09000012,studentEmployeePT,2219,Hackney
E09000012,studentEmployeeFT,813,Hackney
E09000012,studentSelfEmployerPT,33,Hackney
E09000012,studentSelfEmployerFT,12,Hackney
E09000012,studentSelfPT,479,Hackney
E09000012,studentSelfFT,124,Hackney
E09000012,studentJobSeeking,1514,Hackney
E09000012,retired,16378,Hackney
E09000012,student,16079,Hackney
E09000012,care,11029,Hackney
E09000012,sick,10428,Hackney
E09000012,otherInactive,9785,Hackney
E09000020,selfEmployerFT,2593,Kensington and Chelsea
E09000020,selfPT,6896,Kensington and Chelsea
E09000020,selfFT,7458,Kensington and Chelsea
E09000020,jobSeeking,4903,Kensington and Chelsea
E09000020,studentEmployeePT,822,Kensington and Chelsea
E09000020,studentEmployeeFT,450,Kensington and Chelsea
E09000020,studentSelfEmployerPT,21,Kensington and Chelsea
E09000020,studentSelfEmployerFT,13,Kensington and Chelsea
E09000020,studentSelfPT,255,Kensington and Chelsea
E09000020,studentSelfFT,75,Kensington and Chelsea
E09000020,studentJobSeeking,729,Kensington and Chelsea
E09000020,retired,16078,Kensington and Chelsea
E09000020,student,12680,Kensington and Chelsea
E09000020,care,8499,Kensington and Chelsea
E09000020,sick,4781,Kensington and Chelsea
E09000020,otherInactive,5979,Kensington and Chelsea
E09000021,employeePT,14239,Kingston upon Thames
E09000021,employeeFT,50885,Kingston upon Thames
E09000021,selfEmployerPT,635,Kingston upon Thames
E09000021,selfEmployerFT,1863,Kingston upon Thames
E09000021,selfPT,6487,Kingston upon Thames
E09000021,selfFT,7229,Kingston upon Thames
E09000021,jobSeeking,4087,Kingston upon Thames
E09000021,studentEmployeePT,2028,Kingston upon Thames
E09000021,studentEmployeeFT,456,Kingston upon Thames
E09000021,studentSelfEmployerPT,26,Kingston upon Thames
E09000021,studentSelfEmployerFT,17,Kingston upon Thames
E09000021,studentSelfPT,220,Kingston upon Thames
E09000021,studentSelfFT,63,Kingston upon Thames
E09000021,studentJobSeeking,1150,Kingston upon Thames
E09000021,retired,21813,Kingston upon Thames
E09000021,student,10088,Kingston upon Thames
E09000021,care,6911,Kingston upon Thames
E09000021,sick,3429,Kingston upon Thames
E09000021,otherInactive,3841,Kingston upon Thames
E09000022,employeePT,25995,Lambeth
E09000022,employeeFT,121480,Lambeth
E09000022,selfEmployerPT,1018,Lambeth
E09000022,selfEmployerFT,2893,Lambeth
E09000022,selfPT,12060,Lambeth
E09000022,selfFT,14329,Lambeth
E09000022,jobSeeking,12258,Lambeth
E09000022,studentEmployeePT,3028,Lambeth
E09000022,studentEmployeeFT,1323,Lambeth
E09000022,studentSelfEmployerPT,37,Lambeth
E09000022,studentSelfEmployerFT,22,Lambeth
E09000022,studentSelfPT,485,Lambeth
E09000022,studentSelfFT,147,Lambeth
E09000022,studentJobSeeking,2066,Lambeth
E09000022,retired,22302,Lambeth
E09000022,student,17750,Lambeth
E09000022,care,10561,Lambeth
E09000022,sick,9970,Lambeth
E09000022,otherInactive,11218,Lambeth
E09000023,employeePT,27601,Lewisham
E09000023,employeeFT,94199,Lewisham
E09000023,selfEmployerPT,1016,Lewisham
E09000023,selfEmployerFT,2654,Lewisham
E09000023,selfPT,11669,Lewisham
E09000023,selfFT,13384,Lewisham
E09000023,jobSeeking,11891,Lewisham
E09000023,studentEmployeePT,3316,Lewisham
E09000023,studentEmployeeFT,1103,Lewisham
E09000023,studentSelfEmployerPT,44,Lewisham
E09000023,studentSelfEmployerFT,34,Lewisham
E09000023,studentSelfPT,529,Lewisham
E09000023,studentSelfFT,167,Lewisham
E09000023,studentJobSeeking,1972,Lewisham
E09000023,retired,25422,Lewisham
E09000023,student,15810,Lewisham
E09000023,care,11527,Lewisham
E09000023,sick,9814,Lewisham
E09000023,otherInactive,10265,Lewisham
E09000024,employeePT,18287,Merton
E09000024,employeeFT,67640,Merton
E09000024,selfEmployerPT,846,Merton
E09000024,selfEmployerFT,2553,Merton
E09000024,selfPT,9051,Merton
E09000024,selfFT,10837,Merton
E09000024,jobSeeking,5996,Merton
E09000024,studentEmployeePT,1838,Merton
E09000024,studentEmployeeFT,616,Merton
E09000024,studentSelfEmployerPT,33,Merton
E09000024,studentSelfEmployerFT,20,Merton
E09000024,studentSelfPT,241,Merton
E09000024,studentSelfFT,103,Merton
E09000024,studentJobSeeking,839,Merton
E09000024,retired,24084,Merton
E09000024,student,9494,Merton
E09000024,care,9999,Merton
E09000024,sick,4372,Merton
E09000024,otherInactive,5923,Merton
E09000025,employeePT,33737,Newham
E09000025,employeeFT,87586,Newham
E09000025,selfEmployerPT,1631,Newham
E09000025,selfEmployerFT,3769,Newham
E09000025,selfPT,11222,Newham
E09000025,selfFT,16661,Newham
E09000025,jobSeeking,13893,Newham
E09000025,studentEmployeePT,5256,Newham
E09000025,studentEmployeeFT,2139,Newham
E09000025,studentSelfEmployerPT,112,Newham
E09000025,studentSelfEmployerFT,102,Newham
E09000025,studentSelfPT,740,Newham
E09000025,studentSelfFT,490,Newham
E09000025,studentJobSeeking,3401,Newham
E09000025,retired,21237,Newham
E09000025,student,24072,Newham
E09000025,care,24928,Newham
E09000025,sick,10675,Newham
E09000025,otherInactive,14522,Newham
E09000026,employeePT,28248,Redbridge
E09000026,employeeFT,75540,Redbridge
E09000026,selfEmployerPT,1812,Redbridge
E09000026,selfEmployerFT,4492,Redbridge
E09000026,selfPT,11055,Redbridge
E09000026,selfFT,15188,Redbridge
E09000026,jobSeeking,9219,Redbridge
E09000026,studentEmployeePT,3194,Redbridge
E09000026,studentEmployeeFT,1139,Redbridge
E09000026,studentSelfEmployerPT,63,Redbridge
E09000026,studentSelfEmployerFT,75,Redbridge
E09000026,studentSelfPT,471,Redbridge
