code,category,value,areaName
E09000029,skilledTrade,10383,Sutton
E09000029,service,9022,Sutton
E09000029,sales,6802,Sutton
E09000029,manual,5380,Sutton
E09000029,elementary,7527,Sutton
E09000030,management,20628,Tower Hamlets
E09000030,professional,49021,Tower Hamlets
E09000030,technical,27819,Tower Hamlets
E09000030,admin,11184,Tower Hamlets
E09000030,skilledTrade,7508,Tower Hamlets
E09000030,service,9276,Tower Hamlets
E09000030,sales,10470,Tower Hamlets
E09000030,manual,6949,Tower Hamlets
E09000030,elementary,12537,Tower Hamlets
E09000031,management,17473,Waltham Forest
E09000031,professional,32185,Waltham Forest
E09000031,technical,21194,Waltham Forest
E09000031,admin,11608,Waltham Forest
E09000031,skilledTrade,14037,Waltham Forest
E09000031,service,10474,Waltham Forest
E09000031,sales,9284,Waltham Forest
E09000031,manual,8341,Waltham Forest
E09000031,elementary,15776,Waltham Forest
E09000032,management,35827,Wandsworth
E09000032,professional,61870,Wandsworth
E09000032,technical,37329,Wandsworth
E09000032,admin,13285,Wandsworth
E09000032,skilledTrade,7838,Wandsworth
E09000032,service,11073,Wandsworth
E09000032,sales,8031,Wandsworth
E09000032,manual,5178,Wandsworth
E09000032,elementary,10011,Wandsworth
E09000033,management,22858,Westminster
E09000033,professional,31136,Westminster
E09000033,technical,17588,Westminster
E09000033,admin,6750,Westminster
E09000033,skilledTrade,3481,Westminster
E09000033,service,6187,Westminster
E09000033,sales,5211,Westminster
E09000033,manual,2781,Westminster
E09000033,elementary,5750,Westminster
