code,category,value
E14000534,age10,1203
E14000534,age11,1222
E14000534,age12,1248
E14000534,age13,1215
E14000534,age14,1276
E14000534,age15,1203
E14000534,age16,1294
E14000534,age17,1208
E14000534,age18,1015
E14000534,age19,725
E14000534,age20,681
E14000534,age21,720
E14000534,age22,833
E14000534,age23,838
E14000534,age24,869
E14000534,age25,806
E14000534,age26,780
E14000534,age27,825
E14000534,age28,829
E14000534,age29,820
E14000534,age30,905
E14000534,age31,910
E14000534,age32,940
E14000534,age33,943
E14000534,age34,929
E14000534,age35,1016
E14000534,age36,958
E14000534,age37,985
E14000534,age38,984
E14000534,age39,1089
E14000534,age40,1140
E14000534,age41,1222
E14000534,age42,1208
E14000534,age43,1072
E14000534,age44,1069
E14000534,age45,1166
E14000534,age46,1268
E14000534,age47,1358
E14000534,age48,1444
E14000534,age49,1501
E14000534,age50,1501
E14000534,age51,1491
E14000534,age52,1586
E14000534,age53,1624
E14000534,age54,1666
E14000534,age55,1671
E14000534,age56,1708
E14000534,age57,1732
E14000534,age58,1686
E14000534,age59,1583
E14000534,age60,1571
E14000534,age61,1463
E14000534,age62,1531
E14000534,age63,1496
E14000534,age64,1462
E14000534,age65,1424
E14000534,age66,1432
E14000534,age67,1368
E14000534,age68,1393
E14000534,age69,1384
E14000534,age70,1403
E14000534,age71,1433
E14000534,age72,1503
E14000534,age73,1687
E14000534,age74,1685
E14000534,age75,1266
E14000534,age76,1339
E14000534,age77,1232
E14000534,age78,1159
E14000534,age79,945
E14000534,age80,934
E14000534,age81,908
E14000534,age82,860
E14000534,age83,820
E14000534,age84,696
E14000534,age85,603
E14000534,age86,529
E14000534,age87,478
E14000534,age88,425
E14000534,age89,426
E14000534,age90,372
E14000534,age91,330
E14000534,age92,258
E14000534,age93,198
E14000534,age94,139
E14000534,age95,135
E14000534,age96,72
E14000534,age97,59
E14000534,age98,35
E14000534,age99,34
E14000534,over100,45
E14000535,under1,1010
E14000535,age1,1046
E14000535,age2,1057
E14000535,age3,1140
E14000535,age4,1121
E14000535,age5,1197
E14000535,age6,1161
E14000535,age7,1270
E14000535,age8,1284
E14000535,age9,1334
E14000535,age10,1365
E14000535,age11,1254
E14000535,age12,1271
E14000535,age13,1147
E14000535,age14,1236
E14000535,age15,1156
E14000535,age16,1131
E14000535,age17,1088
E14000535,age18,1047
E14000535,age19,915
E14000535,age20,951
E14000535,age21,979
E14000535,age22,1073
E14000535,age23,1110
E14000535,age24,1163
E14000535,age25,1175
E14000535,age26,1151
E14000535,age27,1268
E14000535,age28,1270
E14000535,age29,1344
E14000535,age30,1350
E14000535,age31,1396
E14000535,age32,1359
E14000535,age33,1344
E14000535,age34,1319
E14000535,age35,1370
E14000535,age36,1262
E14000535,age37,1242
E14000535,age38,1233
E14000535,age39,1188
E14000535,age40,1328
E14000535,age41,1261
E14000535,age42,1166
E14000535,age43,1152
E14000535,age44,1119
E14000535,age45,1177
E14000535,age46,1144
E14000535,age47,1330
E14000535,age48,1352
E14000535,age49,1547
E14000535,age50,1577
E14000535,age51,1519
E14000535,age52,1598
E14000535,age53,1594
E14000535,age54,1593
E14000535,age55,1600
E14000535,age56,1599
E14000535,age57,1539
E14000535,age58,1593
E14000535,age59,1466
E14000535,age60,1462
E14000535,age61,1461
E14000535,age62,1308
E14000535,age63,1231
E14000535,age64,1221
E14000535,age65,1179
E14000535,age66,1167
E14000535,age67,1140
E14000535,age68,1163
E14000535,age69,1145
E14000535,age70,1122
E14000535,age71,1180
E14000535,age72,1204
E14000535,age73,1248
E14000535,age74,1209
E14000535,age75,950
E14000535,age76,1036
E14000535,age77,946
E14000535,age78,933
E14000535,age79,766
E14000535,age80,630
E14000535,age81,698
E14000535,age82,591
E14000535,age83,538
E14000535,age84,479
E14000535,age85,404
E14000535,age86,346
E14000535,age87,316
E14000535,age88,282
E14000535,age89,222
E14000535,age90,196
E14000535,age91,174
E14000535,age92,131
E14000535,age93,117
E14000535,age94,88
E14000535,age95,70
E14000535,age96,47
E14000535,age97,23
E14000535,age98,12
E14000535,age99,8
E14000535,over100,17
E14000536,under1,1369
E14000536,age1,1431
E14000536,age2,1450
E14000536,age3,1601
E14000536,age4,1515
E14000536,age5,1568
E14000536,age6,1571
E14000536,age7,1541
E14000536,age8,1689
E14000536,age9,1650
E14000536,age10,1627
E14000536,age11,1711
E14000536,age12,1652
E14000536,age13,1616
E14000536,age14,1627
E14000536,age15,1431
E14000536,age16,1526
E14000536,age17,1617
E14000536,age18,1352
E14000536,age19,1104
E14000536,age20,991
E14000536,age21,1132
E14000536,age22,1301
E14000536,age23,1394
E14000536,age24,1454
E14000536,age25,1406
E14000536,age26,1566
E14000536,age27,1547
E14000536,age28,1618
E14000536,age29,1642
E14000536,age30,1714
E14000536,age31,1723
E14000536,age32,1723
E14000536,age33,1737
E14000536,age34,1716
E14000536,age35,1663
E14000536,age36,1615
E14000536,age37,1630
E14000536,age38,1587
E14000536,age39,1549
E14000536,age40,1599
E14000536,age41,1551
E14000536,age42,1593
E14000536,age43,1526
E14000536,age44,1583
E14000536,age45,1525
E14000536,age46,1632
E14000536,age47,1579
E14000536,age48,1624
E14000536,age49,1777
E14000536,age50,1857
E14000536,age51,1951
E14000536,age52,1924
E14000536,age53,1933
E14000536,age54,1850
E14000536,age55,1851
E14000536,age56,1842
E14000536,age57,1780
E14000536,age58,1719
E14000536,age59,1679
E14000536,age60,1573
E14000536,age61,1447
E14000536,age62,1380
E14000536,age63,1354
E14000536,age64,1275
E14000536,age65,1307
E14000536,age66,1296
E14000536,age67,1220
E14000536,age68,1219
E14000536,age69,1241
E14000536,age70,1207
