boroughs,age,ageValue,occupation,occupationValue
Barking and Dagenham,age48,2807,skilledTrade,10957
Barking and Dagenham,age48,2807,service,10934
Barking and Dagenham,age48,2807,sales,7686
Barking and Dagenham,age48,2807,manual,8964
Barking and Dagenham,age48,2807,elementary,15000
Barking and Dagenham,age49,2882,management,7786
Barking and Dagenham,age49,2882,professional,15185
Barking and Dagenham,age49,2882,technical,9279
Barking and Dagenham,age49,2882,admin,8798
Barking and Dagenham,age49,2882,skilledTrade,10957
Barking and Dagenham,age49,2882,service,10934
Barking and Dagenham,age49,2882,sales,7686
Barking and Dagenham,age49,2882,manual,8964
Barking and Dagenham,age49,2882,elementary,15000
Barking and Dagenham,age50,2897,management,7786
Barking and Dagenham,age50,2897,professional,15185
Barking and Dagenham,age50,2897,technical,9279
Barking and Dagenham,age50,2897,admin,8798
Barking and Dagenham,age50,2897,skilledTrade,10957
Barking and Dagenham,age50,2897,service,10934
Barking and Dagenham,age50,2897,sales,7686
Barking and Dagenham,age50,2897,manual,8964
Barking and Dagenham,age50,2897,elementary,15000
Barking and Dagenham,age51,2860,management,7786
Barking and Dagenham,age51,2860,professional,15185
Barking and Dagenham,age51,2860,technical,9279
Barking and Dagenham,age51,2860,admin,8798
Barking and Dagenham,age51,2860,skilledTrade,10957
Barking and Dagenham,age51,2860,service,10934
Barking and Dagenham,age51,2860,sales,7686
Barking and Dagenham,age51,2860,manual,8964
Barking and Dagenham,age51,2860,elementary,15000
Barking and Dagenham,age52,2805,management,7786
Barking and Dagenham,age52,2805,professional,15185
Barking and Dagenham,age52,2805,technical,9279
Barking and Dagenham,age52,2805,admin,8798
Barking and Dagenham,age52,2805,skilledTrade,10957
Barking and Dagenham,age52,2805,service,10934
Barking and Dagenham,age52,2805,sales,7686
Barking and Dagenham,age52,2805,manual,8964
Barking and Dagenham,age52,2805,elementary,15000
Barking and Dagenham,age53,2800,management,7786
