code,category,value
E14000584,skilledTrade,5124
E14000584,service,6065
E14000584,sales,4395
E14000584,manual,3050
E14000584,elementary,4987
E14000585,N/A,58481
E14000585,management,5809
E14000585,professional,8792
E14000585,technical,6034
E14000585,admin,4085
E14000585,skilledTrade,5355
E14000585,service,5520
E14000585,sales,4904
E14000585,manual,3095
E14000585,elementary,5550
E14000586,N/A,54396
E14000586,management,8900
E14000586,professional,12416
E14000586,technical,9426
E14000586,admin,5923
E14000586,skilledTrade,5941
E14000586,service,5424
E14000586,sales,3917
E14000586,manual,2696
E14000586,elementary,4920
E14000587,N/A,76918
E14000587,management,3517
E14000587,professional,5933
E14000587,technical,4675
E14000587,admin,4145
E14000587,skilledTrade,4700
E14000587,service,5118
E14000587,sales,4740
E14000587,manual,5333
E14000587,elementary,6732
E14000588,N/A,62067
E14000588,management,3786
E14000588,professional,5924
E14000588,technical,4870
E14000588,admin,4822
E14000588,skilledTrade,5072
E14000588,service,5215
E14000588,sales,4108
E14000588,manual,4619
E14000588,elementary,5957
E14000589,N/A,78996
E14000589,management,3203
E14000589,professional,6866
E14000589,technical,4050
E14000589,admin,3905
E14000589,skilledTrade,3661
E14000589,service,4754
E14000589,sales,4568
E14000589,manual,5070
E14000589,elementary,6282
E14000590,N/A,52395
E14000590,management,7285
E14000590,professional,7681
E14000590,technical,6630
E14000590,admin,5234
E14000590,skilledTrade,6770
E14000590,service,5024
E14000590,sales,3668
E14000590,manual,3598
E14000590,elementary,4978
E14000591,N/A,82018
E14000591,management,7083
E14000591,professional,12550
E14000591,technical,8390
E14000591,admin,5451
E14000591,skilledTrade,6587
E14000591,service,6863
E14000591,sales,5581
E14000591,manual,5477
E14000591,elementary,9719
E14000592,N/A,74939
E14000592,management,7539
E14000592,professional,12654
E14000592,technical,6699
E14000592,admin,6196
E14000592,skilledTrade,8031
E14000592,service,5260
E14000592,sales,6528
E14000592,manual,6552
E14000592,elementary,10521
E14000593,N/A,71525
E14000593,management,11444
E14000593,professional,18156
E14000593,technical,10710
E14000593,admin,5767
E14000593,skilledTrade,5572
E14000593,service,5246
E14000593,sales,4585
E14000593,manual,3862
E14000593,elementary,7002
E14000594,N/A,50486
E14000594,management,8988
E14000594,professional,10486
E14000594,technical,7360
E14000594,admin,5965
E14000594,skilledTrade,4596
E14000594,service,3263
E14000594,sales,2423
E14000594,manual,2011
E14000594,elementary,2788
E14000595,N/A,62272
E14000595,management,6257
E14000595,professional,6839
E14000595,technical,5506
E14000595,admin,4572
E14000595,skilledTrade,8089
E14000595,service,6065
E14000595,sales,4065
E14000595,manual,4977
E14000595,elementary,7648
E14000596,N/A,47517
E14000596,management,4888
E14000596,professional,5528
E14000596,technical,4365
E14000596,admin,3500
E14000596,skilledTrade,5033
E14000596,service,3875
E14000596,sales,2884
E14000596,manual,4493
E14000596,elementary,5585
E14000597,N/A,50930
E14000597,management,5289
E14000597,professional,8934
E14000597,technical,6263
E14000597,admin,3395
E14000597,skilledTrade,4296
E14000597,service,4688
E14000597,sales,3464
E14000597,manual,2192
E14000597,elementary,4207
E14000598,N/A,51410
E14000598,management,7352
E14000598,professional,14998
E14000598,technical,9563
E14000598,admin,3727
E14000598,skilledTrade,3906
E14000598,service,4209
E14000598,sales,3892
E14000598,manual,1534
E14000598,elementary,4148
E14000599,N/A,50447
E14000599,management,5045
E14000599,professional,11609
E14000599,technical,7603
E14000599,admin,5349
E14000599,skilledTrade,5715
E14000599,service,5083
E14000599,sales,4086
E14000599,manual,3731
E14000599,elementary,5645
E14000600,N/A,58877
E14000600,management,5657
E14000600,professional,13426
E14000600,technical,6303
E14000600,admin,4377
E14000600,skilledTrade,3858
E14000600,service,4529
E14000600,sales,3475
E14000600,manual,3194
E14000600,elementary,6350
E14000601,N/A,57068
E14000601,management,5727
E14000601,professional,13811
E14000601,technical,8737
E14000601,admin,5861
E14000601,skilledTrade,6582
E14000601,service,5337
E14000601,sales,4584
E14000601,manual,3731
E14000601,elementary,6705
E14000602,N/A,67563
E14000602,management,7790
E14000602,professional,26082
E14000602,technical,12522
E14000602,admin,4862
E14000602,skilledTrade,3758
E14000602,service,4619
E14000602,sales,4265
E14000602,manual,2359
E14000602,elementary,6145
E14000603,N/A,53321
E14000603,management,6509
E14000603,professional,7958
E14000603,technical,5694
E14000603,admin,4812
E14000603,skilledTrade,6407
E14000603,service,4657
E14000603,sales,3596
E14000603,manual,2968
E14000603,elementary,4141
E14000604,N/A,49246
E14000604,management,8224
E14000604,professional,12504
E14000604,technical,7119
E14000604,admin,4981
E14000604,skilledTrade,3639
E14000604,service,3273
E14000604,sales,2511
E14000604,manual,1810
E14000604,elementary,2786
E14000605,N/A,51896
E14000605,management,8088
E14000605,professional,11774
