code,category,value
E14000855,male,70469
E14000856,female,48110
E14000856,male,45788
E14000857,female,58000
E14000857,male,56533
E14000858,female,53071
E14000858,male,51634
E14000859,female,51000
E14000859,male,47681
E14000860,female,50064
E14000860,male,49814
E14000861,female,47299
E14000861,male,45899
E14000862,female,53714
E14000862,male,53113
E14000863,female,46336
E14000863,male,45747
E14000864,female,54133
E14000864,male,51790
E14000865,female,53859
E14000865,male,53707
E14000866,female,52324
E14000866,male,47037
E14000867,female,58445
E14000867,male,58260
E14000868,female,50523
E14000868,male,48962
E14000869,female,46555
E14000869,male,43130
E14000870,female,55826
E14000870,male,52781
E14000871,female,56784
E14000871,male,55240
E14000872,female,48237
E14000872,male,44584
E14000873,female,66610
E14000873,male,64847
E14000874,female,54638
E14000874,male,53398
E14000875,female,48396
E14000875,male,47361
E14000876,female,45527
E14000876,male,43492
E14000877,female,42681
E14000877,male,41743
E14000878,female,66310
E14000878,male,64838
E14000879,female,49549
E14000879,male,45792
E14000880,female,55918
E14000880,male,56738
E14000881,female,51361
E14000881,male,48656
E14000882,female,82567
E14000882,male,84718
E14000883,female,51325
E14000883,male,48808
E14000884,female,53515
E14000884,male,54355
E14000885,female,47641
E14000885,male,48307
E14000886,female,50429
E14000886,male,47426
E14000887,female,53248
E14000887,male,47540
E14000888,female,51451
E14000888,male,48633
E14000889,female,60340
E14000889,male,60221
E14000890,female,56831
E14000890,male,55565
E14000891,female,45218
E14000891,male,42194
E14000892,female,47080
E14000892,male,45969
E14000893,female,54781
E14000893,male,52686
E14000894,female,52403
E14000894,male,50656
E14000895,female,52543
E14000895,male,52475
E14000896,female,63238
E14000896,male,58174
E14000897,female,57891
E14000897,male,56496
E14000898,female,59127
E14000898,male,57522
E14000899,female,54469
E14000899,male,51405
E14000900,female,55318
E14000900,male,51291
E14000901,female,46594
E14000901,male,45333
E14000902,female,50486
E14000902,male,48937
E14000903,female,50771
E14000903,male,48256
E14000904,female,45785
E14000904,male,44832
E14000905,female,54359
E14000905,male,54083
E14000906,female,52010
E14000906,male,48295
E14000907,female,57434
E14000907,male,53591
E14000908,female,52128
E14000908,male,49564
E14000909,female,54196
E14000909,male,53858
E14000910,female,60431
E14000910,male,57417
E14000911,female,63299
E14000911,male,65873
E14000912,female,51656
E14000912,male,48615
E14000913,female,49847
E14000913,male,47338
E14000914,female,45653
E14000914,male,44967
E14000915,female,43746
E14000915,male,41917
E14000916,female,43962
E14000916,male,40907
E14000917,female,53831
E14000917,male,51977
E14000918,female,50451
E14000918,male,47179
E14000919,female,57800
E14000919,male,60020
E14000920,female,47855
E14000920,male,46177
E14000921,female,55838
E14000921,male,53240
E14000922,female,45363
E14000922,male,43376
E14000923,female,47930
E14000923,male,45110
E14000924,female,53207
E14000924,male,50978
E14000925,female,50045
E14000925,male,47377
E14000926,female,55888
E14000926,male,53799
E14000927,female,61372
E14000927,male,61310
E14000928,female,51747
E14000928,male,49288
E14000929,female,61769
E14000929,male,59008
E14000930,female,76777
E14000930,male,75305
E14000931,female,51995
E14000931,male,49647
E14000932,female,57531
E14000932,male,53862
E14000933,female,52908
E14000933,male,50299
E14000934,female,63418
E14000934,male,61087
E14000935,female,54665
E14000935,male,52543
E14000936,female,47298
E14000936,male,46453
E14000937,female,60674
E14000937,male,58246
E14000938,female,46904
E14000938,male,44454
E14000939,female,55877
E14000939,male,53604
E14000940,female,56022
E14000940,male,54335
E14000941,female,57353
E14000941,male,54842
E14000942,female,64343
E14000942,male,62196
E14000943,female,49885
E14000943,male,49366
E14000944,female,41343
E14000944,male,39054
E14000945,female,47484
E14000945,male,47895
E14000946,female,49737
E14000946,male,46836
E14000947,female,56109
E14000947,male,56082
E14000948,female,51483
E14000948,male,48139
E14000949,female,58072
E14000949,male,56908
E14000950,female,48348
E14000950,male,45298
E14000951,female,56414
E14000951,male,54250
E14000952,female,55739
E14000952,male,54696
E14000953,female,55573
E14000953,male,52723
E14000954,female,53473
E14000954,male,51256
E14000955,female,55331
E14000955,male,54732
E14000956,female,54760
E14000956,male,55772
E14000957,female,47016
E14000957,male,44608
E14000958,female,47891
E14000958,male,45091
E14000959,female,52335
E14000959,male,50621
E14000960,female,53030
E14000960,male,50794
E14000961,female,55112
E14000961,male,52614
E14000962,female,51030
E14000962,male,49139
E14000963,female,53798
E14000963,male,51640
E14000964,female,44187
E14000964,male,41123
E14000965,female,50024
E14000965,male,49220
E14000966,female,38874
E14000966,male,37735
E14000967,female,49700
E14000967,male,47655
E14000968,female,50751
E14000968,male,49220
E14000969,female,46048
E14000969,male,44244
E14000970,female,47129
E14000970,male,45908
E14000971,female,52943
E14000971,male,50615
E14000972,female,43524
E14000972,male,44647
E14000973,female,50436
E14000973,male,49078
E14000974,female,46181
E14000974,male,44561
E14000975,female,43922
E14000975,male,42581
E14000976,female,45575
E14000976,male,44789
E14000977,female,50218
E14000977,male,47008
E14000978,female,61393
E14000978,male,57120
E14000979,female,52271
E14000979,male,49499
E14000980,female,55080
E14000980,male,52815
E14000981,female,52701
E14000981,male,50308
E14000982,female,49462
E14000982,male,47952
E14000983,female,56498
E14000983,male,54411
E14000984,female,54000
E14000984,male,50953
E14000985,female,49752
E14000985,male,46933
E14000986,female,49415
E14000986,male,48530
E14000987,female,45711
E14000987,male,43540
E14000988,female,62882
E14000988,male,59624
E14000989,female,51672
E14000989,male,50242
E14000990,female,57385
E14000990,male,54186
E14000991,female,53849
E14000991,male,50192
E14000992,female,51306
E14000992,male,50713
E14000993,female,52298
E14000993,male,49407
E14000994,female,46949
E14000994,male,45863
E14000995,female,66948
E14000995,male,64482
E14000996,female,54489
E14000996,male,51227
E14000997,female,55185
E14000997,male,52218
E14000998,female,56528
E14000998,male,50759
E14000999,female,52746
E14000999,male,50188
E14001000,female,52364
E14001000,male,50200
E14001001,female,45686
E14001001,male,42380
E14001002,female,72016
E14001002,male,67620
E14001003,female,51986
E14001003,male,47513
E14001004,female,54070
E14001004,male,51356
E14001005,female,60855
E14001005,male,56917
E14001006,female,52442
E14001006,male,48884
E14001007,female,56992
E14001007,male,55281
E14001008,female,61808
E14001008,male,60296
E14001009,female,50775
E14001009,male,50076
E14001010,female,45546
